Question,Answer,Metadata
How to generate a CSR file for PayVantage integration?,"Steps to generate a CSR file for PayVantage integration are as follows:\nPlease find the below steps to prepare CSR and validate steps. \n\n===================== \nCSR Creation \n=====================\nSteps to be followed at client side: \n(The below two steps to be performed and share csr with AXIS team, AXIS team will sign the given csr and revert to client)\n\n1) Generate a key\nopenssl genrsa -aes128 -out [CLIENT_DOMAINNAME].key 2048\n\n2)Generate a CSR\nopenssl req -new -key [CLIENT_DOMAINNAME].key -out [CLIENT_DOMAINNAME].csr\n\nNOTE: Keep the key file and password for key File Safe\n\n3) Validate the CRT (Once AXIS team shared signed certficate)\nopenssl x509 -in <<AXIS_SIGNED_certfile.crt>>  -text -noout\n\nNote: In above step , paste the path of the signed certificate we shared with you,  in place of <<AXIS_SIGNED_certfile.crt>>\n\n4) Create the pkcs12 keystore\nopenssl pkcs12 -export -out CLIENT_DOMAINNAME.p12 -inkey [CLIENT_DOMAINNAME].key  -in <<AXIS_SIGNED_certfile.crt>> -name <<aliasname>>    -certfile SakshamAPIClientRootCert.crt -certfile SakshamAPIClientIntermediateCertificate.crt\nNote: Axis Team will share Saksham Root and Intermediate public certificates with client.\n\nEx: openssl pkcs12 -export -out axis.p12 -inkey Private.key -in  AXIS-client-certificate.crt -name AXIS -certfile Root.crt -certfile Intermediate.crt\n\nIn Step 3: Important step\n\nIn place of [CLIENT_DOMAINNAME].key , need to pass the path of the key file that was generated at the time of creating csr\n\nIn place of <<AXIS_SIGNED_certfile.crt>>, need to pass the path of the signed certificate that we shared to you.\n\nIn place of <<aliasname>> , you can give any name ( most clients prefer to give organisation name )\n\nand path of the Intermediate and root certificates given to you should be given in place of /SakshamAPIClientRootCert.crt -certfile ../SakshamAPIClientIntermediateCertificate.crt\n\nAfter passing everything correctly, click enter\ni) It will ask for pass phrase for key file that you created while creating csr\nii) Give password correctly which you gave while creating that key file\nafter that, if you click enter\niii) It will ask as enter export password, give a well-remembered password.\niv) It will ask again to confirm same, enter same password again\n\nNow, pkcs12 will be generated.\nThis file will be used to authenticate at axis bank side and if successful then you will be able consume the APIs you are subscribed for.\n\n===================== \nAXIS team shared signed certificate matches private key =====================\n\nYou can check if an SSL certificate matches a Private Key by using the 3 easy commands below.\n\nFor your SSL certificate: openssl x509 -noout -modulus -in <file>.crt | openssl md5\n\nFor your RSA private key: openssl rsa -noout -modulus -in <file>.key | openssl md5\n\nFor your CSR: openssl req -noout -modulus -in <file>.csr | openssl md5\n\nYou just need to replace <file> with your file name. If all the three matches, the SSL certificate matches the Private Key.\n\nIncase if you need to convert .p12 File to .pem \nopenssl pkcs12 -in CLIENT_DOMAINNAME.p12 -out CLIENT_DOMAINNAME.pem -nodes\n\n=======================\nRemoving passphrase from private key\n=======================\nopenssl rsa -in [original.key] -out [new.key]",qna_id:9020_api_portal
Which platform/language is used for encryption/decryption?,Platform/language used for encryption/decryption is JWS and JWE,qna_id:9021_api_portal
How to register existing a/c. no in PayVantage?,"Steps to register existing A/c. no in PayVantage is as follows:\nUsing PayVantage User Registration page, customer needs to link the account. Customer needs to enter Internet Banking credentials or MPIN to authenticate. This is one time activity.",qna_id:9022_api_portal
Is user registration a mandatory step?,"Yes, access token is generated during user registration is required to call the APIs. Hence user registration a mandatory step.",qna_id:9023_api_portal
Is checker approval required for any consequent/ step up registration?,"No, checker approval is not required for any consequent/ step up registration. Checker approval is required only once during User registration.",qna_id:9024_api_portal
What is the process to register or link an A/c to Payvantage?,"The process to register or link an A/c to Payvantage is as follows:\nUsing Payvantage User Registration page, the customer needs to click on the Link the Account > enter the Internet Banking credentials or MPIN to authenticate. This is a one-time activity.",qna_id:9025_api_portal
How to know if a customer has an account in PayVantage?,If a customer has any account and is linked successfully in PayVantage then it will be shared using the callback API.,qna_id:9026_api_portal
If the customer does not have an account how to initiate account opening?,If the customer does not have an account to initiate account opening -Please share the VCIP CA redirection link.,qna_id:9027_api_portal
How to register existing A/c. no in PayVantage?,"To register existing A/c. no in PayVantage follow below steps:\nUsing Payvantage User Registration page, the customer needs to click on the Link the Account > enter the Internet Banking credentials or MPIN to authenticate. This is a one-time activity.",qna_id:9028_api_portal
What is a Fund Transfer API in PayVantage?,Fund transfer in PayVantage is a single API that carries out NEFT/RTGS/IMPS transactions.,qna_id:9029_api_portal
Is creating a beneficiary mandatory for initiating a transfer through PayVantage?,"Yes, creating a beneficiary mandatory for initiating a transfer through PayVantage.",qna_id:9030_api_portal
When to use RIB or CIB in PayVantage?,RIB users are Current Account individuals and CIB is for other constitutions.,qna_id:9031_api_portal
What happens if a user enters the wrong credentials 5 times during User Registration in PayVantage?,"If a user enters the wrong credentials 5 times during User Registration in PayVantage, the User ID gets locked.",qna_id:9032_api_portal
How to register on Developer portal?," To register on Developer portal, customer navigates to SIGN IN pageOn SIGN IN page, clicks on Register to create an accountFills up registration details and creates user ID and passwordCredentials will be ready to use after API developer team approval within 2 days",
What is the process for registering on the Developer portal?," To register on Developer portal, customer navigates to SIGN IN pageOn SIGN IN page, clicks on Register to create an accountFills up registration details and creates user ID and passwordCredentials will be ready to use after API developer team approval within 3 days",
What is the Developer Portal registration process?," To register on Developer portal, customer navigates to SIGN IN pageOn SIGN IN page, clicks on Register to create an accountFills up registration details and creates user ID and passwordCredentials will be ready to use after API developer team approval within 4 days",
What do I need to do to register on the Developer portal?," To register on Developer portal, customer navigates to SIGN IN pageOn SIGN IN page, clicks on Register to create an accountFills up registration details and creates user ID and passwordCredentials will be ready to use after API developer team approval within 5 days",
What are the steps to register on the Developer Portal?," To register on Developer portal, customer navigates to SIGN IN pageOn SIGN IN page, clicks on Register to create an accountFills up registration details and creates user ID and passwordCredentials will be ready to use after API developer team approval within 6 days",
Is there a way to register on the Developer portal?," To register on Developer portal, customer navigates to SIGN IN pageOn SIGN IN page, clicks on Register to create an accountFills up registration details and creates user ID and passwordCredentials will be ready to use after API developer team approval within 7 days",
What is the procedure for registering on the developer portal?," To register on Developer portal, customer navigates to SIGN IN pageOn SIGN IN page, clicks on Register to create an accountFills up registration details and creates user ID and passwordCredentials will be ready to use after API developer team approval within 8 days",
Where can I register for the Developer Portal?," To register on Developer portal, customer navigates to SIGN IN pageOn SIGN IN page, clicks on Register to create an accountFills up registration details and creates user ID and passwordCredentials will be ready to use after API developer team approval within 9 days",
Registration on the Developer Portal: How does it work?," To register on Developer portal, customer navigates to SIGN IN pageOn SIGN IN page, clicks on Register to create an accountFills up registration details and creates user ID and passwordCredentials will be ready to use after API developer team approval within 10 days",
How do I register on the Developer portal?," To register on Developer portal, customer navigates to SIGN IN pageOn SIGN IN page, clicks on Register to create an accountFills up registration details and creates user ID and passwordCredentials will be ready to use after API developer team approval within 11 days",
What are the Credentials Included?,"Client Id ,Client secret, User id, Password",
Who are the Eligible Customers?,"All Entities including small medium businesses and individual developers. (eg; Fintech , Ecommerce , ITes , Marketplace and etc.)",
How to create APP?, Navigate to Apps < create New APPCustomer enters Title of APP and clicks submit,
How to Request additional client credentials?,Click on APP < Select the APP you want multiple credential < click on add credentials < mention name and submitIt is possible to have multiple sets of credentials per Application. For example this could enable the revocation of one set of credentials and migration to a new set in a managed fashion.,
How to get Client secret?,"After creating app , click on Show Client Secret, Copy the client secret and save into file for future reference.",
How to get client ID?,"After creating App, click on Show Client ID, Copy the client ID and save into file for future reference.",
How to use start using API/ How to generate API test tool?," Create APP and clicks submitThen navigates to page to verify client secretClicks on Verify to verify Client secretOnce verified success message is displayed.Post successful sign up, Admin approves registration request and customer can subscribe to APIs, by navigating to APIs < API Products page.",
How to subscribe for API?," API Products page displays list of API categoriesCustomer may choose desired API product to view APIs on the left of page and subscribe to respective plan on centre page.Subscribe to the plan Subscription mail is triggered to Admin Once approved by Admin, customer receives a subscription approval mail. Customer can begin sandbox testing for subscribed API plan. ",
How to check how may APIs are subscribed?,Navigate to APP > Select the APP created > all the subscription will be reflecting > click on view details,
Sandbox testing of API request/response?," Sandbox request is in plain format. For UAT and production request response data needs to be transmitted in encrypted format only. To pass encrypted request data, use AES 128 - AES/CBC/PKCS5Padding with secret key shared by ESB and encode data with base64 encoding. This is part of encrypt function.To decrypt response data, decode data with base64 decoding and use same use AES 128 - AES/CBC/PKCS5Padding with secret key shared by TEST. This is part of decrypt function.",
Testing API requests and responses in a sandbox?," Sandbox request is in plain format. For UAT and production request response data needs to be transmitted in encrypted format only. To pass encrypted request data, use AES 128 - AES/CBC/PKCS5Padding with secret key shared by ESB and encode data with base64 encoding. This is part of encrypt function.To decrypt response data, decode data with base64 decoding and use same use AES 128 - AES/CBC/PKCS6Padding with secret key shared by TEST. This is part of decrypt function.",
API request/response sandbox testing?," Sandbox request is in plain format. For UAT and production request response data needs to be transmitted in encrypted format only. To pass encrypted request data, use AES 128 - AES/CBC/PKCS5Padding with secret key shared by ESB and encode data with base64 encoding. This is part of encrypt function.To decrypt response data, decode data with base64 decoding and use same use AES 128 - AES/CBC/PKCS7Padding with secret key shared by TEST. This is part of decrypt function.",
How about sandbox testing of API requests/responses?," Sandbox request is in plain format. For UAT and production request response data needs to be transmitted in encrypted format only. To pass encrypted request data, use AES 128 - AES/CBC/PKCS5Padding with secret key shared by ESB and encode data with base64 encoding. This is part of encrypt function.To decrypt response data, decode data with base64 decoding and use same use AES 128 - AES/CBC/PKCS8Padding with secret key shared by TEST. This is part of decrypt function.",
Can API requests/responses be tested in a sandbox?," Sandbox request is in plain format. For UAT and production request response data needs to be transmitted in encrypted format only. To pass encrypted request data, use AES 128 - AES/CBC/PKCS5Padding with secret key shared by ESB and encode data with base64 encoding. This is part of encrypt function.To decrypt response data, decode data with base64 decoding and use same use AES 128 - AES/CBC/PKCS9Padding with secret key shared by TEST. This is part of decrypt function.",
Can API requests/responses be tested in a sandbox?," Sandbox request is in plain format. For UAT and production request response data needs to be transmitted in encrypted format only. To pass encrypted request data, use AES 128 - AES/CBC/PKCS5Padding with secret key shared by ESB and encode data with base64 encoding. This is part of encrypt function.To decrypt response data, decode data with base64 decoding and use same use AES 128 - AES/CBC/PKCS10Padding with secret key shared by TEST. This is part of decrypt function.",
API sandbox testing?," Sandbox request is in plain format. For UAT and production request response data needs to be transmitted in encrypted format only. To pass encrypted request data, use AES 128 - AES/CBC/PKCS5Padding with secret key shared by ESB and encode data with base64 encoding. This is part of encrypt function.To decrypt response data, decode data with base64 decoding and use same use AES 128 - AES/CBC/PKCS11Padding with secret key shared by TEST. This is part of decrypt function.",
Does API testing in a sandbox exist?," Sandbox request is in plain format. For UAT and production request response data needs to be transmitted in encrypted format only. To pass encrypted request data, use AES 128 - AES/CBC/PKCS5Padding with secret key shared by ESB and encode data with base64 encoding. This is part of encrypt function.To decrypt response data, decode data with base64 decoding and use same use AES 128 - AES/CBC/PKCS12Padding with secret key shared by TEST. This is part of decrypt function.",
Do you test API responses and requests in a sandbox?," Sandbox request is in plain format. For UAT and production request response data needs to be transmitted in encrypted format only. To pass encrypted request data, use AES 128 - AES/CBC/PKCS5Padding with secret key shared by ESB and encode data with base64 encoding. This is part of encrypt function.To decrypt response data, decode data with base64 decoding and use same use AES 128 - AES/CBC/PKCS13Padding with secret key shared by TEST. This is part of decrypt function.",
Is there a sandbox for testing API requests and responses?," Sandbox request is in plain format. For UAT and production request response data needs to be transmitted in encrypted format only. To pass encrypted request data, use AES 128 - AES/CBC/PKCS5Padding with secret key shared by ESB and encode data with base64 encoding. This is part of encrypt function.To decrypt response data, decode data with base64 decoding and use same use AES 128 - AES/CBC/PKCS14Padding with secret key shared by TEST. This is part of decrypt function.",
Testing the API response and request in a sandbox?," Sandbox request is in plain format. For UAT and production request response data needs to be transmitted in encrypted format only. To pass encrypted request data, use AES 128 - AES/CBC/PKCS5Padding with secret key shared by ESB and encode data with base64 encoding. This is part of encrypt function.To decrypt response data, decode data with base64 decoding and use same use AES 128 - AES/CBC/PKCS15Padding with secret key shared by TEST. This is part of decrypt function.",
Are API requests and responses being tested in a sandbox?," Sandbox request is in plain format. For UAT and production request response data needs to be transmitted in encrypted format only. To pass encrypted request data, use AES 128 - AES/CBC/PKCS5Padding with secret key shared by ESB and encode data with base64 encoding. This is part of encrypt function.To decrypt response data, decode data with base64 decoding and use same use AES 128 - AES/CBC/PKCS16Padding with secret key shared by TEST. This is part of decrypt function.",
What are the Response Sample available\nWhat are the Request Sample available,"Available in 3 language on API developer portalJASON , NODEJS , PHPhttps://apiportal.axisbank.com/portal/encryption",
How can I get Response Samples and Request Samples?,"Available in 4 language on API developer portalJASON , NODEJS , PHPhttps://apiportal.axisbank.com/portal/encryption",
Is there a sample response available? Is there a sample request available?,"Available in 5 language on API developer portalJASON , NODEJS , PHPhttps://apiportal.axisbank.com/portal/encryption",
Could you please tell me what the available Response Samples are and what the available Request Samples are?,"Available in 6 language on API developer portalJASON , NODEJS , PHPhttps://apiportal.axisbank.com/portal/encryption",
Are Response Samples available? Are Request Samples available?,"Available in 7 language on API developer portalJASON , NODEJS , PHPhttps://apiportal.axisbank.com/portal/encryption",
Do you have any Response Samples or Request Samples available?,"Available in 8 language on API developer portalJASON , NODEJS , PHPhttps://apiportal.axisbank.com/portal/encryption",
"Which responses are available, and which requests are available?","Available in 9 language on API developer portalJASON , NODEJS , PHPhttps://apiportal.axisbank.com/portal/encryption",
"Is it possible to get Response Samples? If so, how about Request Samples?","Available in 10 language on API developer portalJASON , NODEJS , PHPhttps://apiportal.axisbank.com/portal/encryption",
Is there a request sample available? What are the response samples available?,"Available in 11 language on API developer portalJASON , NODEJS , PHPhttps://apiportal.axisbank.com/portal/encryption",
What samples are available for response and request?,"Available in 12 language on API developer portalJASON , NODEJS , PHPhttps://apiportal.axisbank.com/portal/encryption",
Are there Response Samples and Request Samples available?,"Available in 13 language on API developer portalJASON , NODEJS , PHPhttps://apiportal.axisbank.com/portal/encryption",
How can i get production environment access?,Select the required API from product page and subscribe to that particular API is mandatory.,
What are the API products available ?,a. Loansb. Depositsc. Paymentsd. Accountse. Cardsf. Credit Cardg. Building Blocks,
What are the Loan API Products ?,a. Additional Loan APIs1.0.0b. Personal Loans1.0.0 (Subscription auto approved)c. Auto Loans ETB1.0. (Subscription auto approved),
Loan API Products - what are they?,a. Additional Loan APIs1.0.0b. Personal Loans1.0.0 (Subscription auto approved)c. Auto Loans ETB1.1. (Subscription auto approved),
Can you tell me what the Loan API Products are?,a. Additional Loan APIs1.0.0b. Personal Loans1.0.0 (Subscription auto approved)c. Auto Loans ETB1.2. (Subscription auto approved),
What are Loan API Products ?,a. Additional Loan APIs1.0.0b. Personal Loans1.0.0 (Subscription auto approved)c. Auto Loans ETB1.3. (Subscription auto approved),
How do the Loan API Products work?,a. Additional Loan APIs1.0.0b. Personal Loans1.0.0 (Subscription auto approved)c. Auto Loans ETB1.4. (Subscription auto approved),
Which Loan API Products are available?,a. Additional Loan APIs1.0.0b. Personal Loans1.0.0 (Subscription auto approved)c. Auto Loans ETB1.5. (Subscription auto approved),
What do you mean by loan API products?,a. Additional Loan APIs1.0.0b. Personal Loans1.0.0 (Subscription auto approved)c. Auto Loans ETB1.6. (Subscription auto approved),
What are the Deposits API Products ?,a. Fixed Deposits1.0.0b. CKYC - FD1.0.0,
Deposits API Products: what are they?,a. Fixed Deposits1.0.0b. CKYC - FD1.0.1,
What are Deposits API Products ?,a. Fixed Deposits1.0.0b. CKYC - FD1.0.2,
Can you tell me more about Deposits API Products ?,a. Fixed Deposits1.0.0b. CKYC - FD1.0.3,
Deposit API Products - what are they?,a. Fixed Deposits1.0.0b. CKYC - FD1.0.4,
Which Deposits API Products are available?,a. Fixed Deposits1.0.0b. CKYC - FD1.0.5,
Deposits API Products: what do they do?,a. Fixed Deposits1.0.0b. CKYC - FD1.0.6,
What are the Payment API product ?,a. Funds Transfer APIs1.0.0b. UPI2.0.0 (Subscription auto approved)c. Bill Payments1.0.0 (Subscription auto approved),
Payment API: What are they?,a. Funds Transfer APIs1.0.0b. UPI2.0.0 (Subscription auto approved)c. Bill Payments1.0.1 (Subscription auto approved),
Can you tell me what the Payment API products are?,a. Funds Transfer APIs1.0.0b. UPI2.0.0 (Subscription auto approved)c. Bill Payments1.0.2 (Subscription auto approved),
Payment API product: what is it?,a. Funds Transfer APIs1.0.0b. UPI2.0.0 (Subscription auto approved)c. Bill Payments1.0.3 (Subscription auto approved),
Is there a Payment API product ?,a. Funds Transfer APIs1.0.0b. UPI2.0.0 (Subscription auto approved)c. Bill Payments1.0.4 (Subscription auto approved),
The Payment API product consists of what?,a. Funds Transfer APIs1.0.0b. UPI2.0.0 (Subscription auto approved)c. Bill Payments1.0.5 (Subscription auto approved),
Payment API: what is it?,a. Funds Transfer APIs1.0.0b. UPI2.0.0 (Subscription auto approved)c. Bill Payments1.0.6 (Subscription auto approved),
What is the Payment API product ?,a. Funds Transfer APIs1.0.0b. UPI2.0.0 (Subscription auto approved)c. Bill Payments1.0.7 (Subscription auto approved),
What are the Accounts API Products ?,a. Account Services1.0.0b. Savings accounts services1.0.0c. Savings Account1.0.0d. Lien Services1.0.0 (Subscription auto approved)e. Collateral Services1.0.0 (Subscription auto approved)f. Cheque Services1.0.0 (Subscription auto approved)g. Beneficiary Services1.0.0 (Subscription auto approved),
Accounts API Products : What are they?,a. Account Services1.0.0b. Savings accounts services1.0.0c. Savings Account1.0.0d. Lien Services1.0.0 (Subscription auto approved)e. Collateral Services1.0.0 (Subscription auto approved)f. Cheque Services1.0.0 (Subscription auto approved)g. Beneficiary Services1.0.1 (Subscription auto approved),
Can you tell me what the Accounts API Products  are?,a. Account Services1.0.0b. Savings accounts services1.0.0c. Savings Account1.0.0d. Lien Services1.0.0 (Subscription auto approved)e. Collateral Services1.0.0 (Subscription auto approved)f. Cheque Services1.0.0 (Subscription auto approved)g. Beneficiary Services1.0.2 (Subscription auto approved),
Accounts API Products : what is it?,a. Account Services1.0.0b. Savings accounts services1.0.0c. Savings Account1.0.0d. Lien Services1.0.0 (Subscription auto approved)e. Collateral Services1.0.0 (Subscription auto approved)f. Cheque Services1.0.0 (Subscription auto approved)g. Beneficiary Services1.0.3 (Subscription auto approved),
Is there a Accounts API Products ?,a. Account Services1.0.0b. Savings accounts services1.0.0c. Savings Account1.0.0d. Lien Services1.0.0 (Subscription auto approved)e. Collateral Services1.0.0 (Subscription auto approved)f. Cheque Services1.0.0 (Subscription auto approved)g. Beneficiary Services1.0.4 (Subscription auto approved),
The Accounts API Products consists of what?,a. Account Services1.0.0b. Savings accounts services1.0.0c. Savings Account1.0.0d. Lien Services1.0.0 (Subscription auto approved)e. Collateral Services1.0.0 (Subscription auto approved)f. Cheque Services1.0.0 (Subscription auto approved)g. Beneficiary Services1.0.5 (Subscription auto approved),
Accounts API Products : what is it?,a. Account Services1.0.0b. Savings accounts services1.0.0c. Savings Account1.0.0d. Lien Services1.0.0 (Subscription auto approved)e. Collateral Services1.0.0 (Subscription auto approved)f. Cheque Services1.0.0 (Subscription auto approved)g. Beneficiary Services1.0.6 (Subscription auto approved),
What is the Accounts API Products  ?,a. Account Services1.0.0b. Savings accounts services1.0.0c. Savings Account1.0.0d. Lien Services1.0.0 (Subscription auto approved)e. Collateral Services1.0.0 (Subscription auto approved)f. Cheque Services1.0.0 (Subscription auto approved)g. Beneficiary Services1.0.7 (Subscription auto approved),
What are the Card API Products ?,a. More PPIM Services1.0.0b. Debit Card Additional APIs1.0.0c. Inquiry and Top-up1.0.0 (Subscription auto approved)d. Card inquiries/update1.0.0 (Subscription auto approved),
Card API Products : What are they?,a. More PPIM Services1.0.0b. Debit Card Additional APIs1.0.0c. Inquiry and Top-up1.0.0 (Subscription auto approved)d. Card inquiries/update1.0.1 (Subscription auto approved),
Can you tell me what the Card API Products are?,a. More PPIM Services1.0.0b. Debit Card Additional APIs1.0.0c. Inquiry and Top-up1.0.0 (Subscription auto approved)d. Card inquiries/update1.0.2 (Subscription auto approved),
Card API Products : what is it?,a. More PPIM Services1.0.0b. Debit Card Additional APIs1.0.0c. Inquiry and Top-up1.0.0 (Subscription auto approved)d. Card inquiries/update1.0.3 (Subscription auto approved),
Is there a Card API Products ?,a. More PPIM Services1.0.0b. Debit Card Additional APIs1.0.0c. Inquiry and Top-up1.0.0 (Subscription auto approved)d. Card inquiries/update1.0.4 (Subscription auto approved),
The Card API Products consists of what?,a. More PPIM Services1.0.0b. Debit Card Additional APIs1.0.0c. Inquiry and Top-up1.0.0 (Subscription auto approved)d. Card inquiries/update1.0.5 (Subscription auto approved),
Card API Products : what is it?,a. More PPIM Services1.0.0b. Debit Card Additional APIs1.0.0c. Inquiry and Top-up1.0.0 (Subscription auto approved)d. Card inquiries/update1.0.6 (Subscription auto approved),
What is the Card API Products  ?,a. More PPIM Services1.0.0b. Debit Card Additional APIs1.0.0c. Inquiry and Top-up1.0.0 (Subscription auto approved)d. Card inquiries/update1.0.7 (Subscription auto approved),
What are the Credit Cards2.0.0 API product,a. Credit Cards2.0.0b. Credit Card Additional APIs1.0.0 (Subscription auto approved),
Credit Cards2.0.0 API product : What are they?,a. Credit Cards2.0.0b. Credit Card Additional APIs1.0.1 (Subscription auto approved),
Can you tell me what the  Credit Cards2.0.0 API product are?,a. Credit Cards2.0.0b. Credit Card Additional APIs1.0.2 (Subscription auto approved),
Credit Cards2.0.0 API product : what is it?,a. Credit Cards2.0.0b. Credit Card Additional APIs1.0.3 (Subscription auto approved),
Is there a  Credit Cards2.0.0 API product?,a. Credit Cards2.0.0b. Credit Card Additional APIs1.0.4 (Subscription auto approved),
The Credit Cards2.0.0 API product consists of what?,a. Credit Cards2.0.0b. Credit Card Additional APIs1.0.5 (Subscription auto approved),
Credit Cards2.0.0 API product : what is it?,a. Credit Cards2.0.0b. Credit Card Additional APIs1.0.6 (Subscription auto approved),
What is the Credit Cards2.0.0 API product?,a. Credit Cards2.0.0b. Credit Card Additional APIs1.0.7 (Subscription auto approved),
What are the Building Blocks API product?,a. CRM services1.0.0b. Building Blocks1.0.0,
Building Blocks API product : What are they?,a. CRM services1.0.0b. Building Blocks1.0.1,
Can you tell me what the Building Blocks API product are?,a. CRM services1.0.0b. Building Blocks1.0.2,
Building Blocks API product : what is it?,a. CRM services1.0.0b. Building Blocks1.0.3,
Is there a Building Blocks API product?,a. CRM services1.0.0b. Building Blocks1.0.4,
The Building Blocks API product consists of what?,a. CRM services1.0.0b. Building Blocks1.0.5,
Building Blocks API product : what is it?,a. CRM services1.0.0b. Building Blocks1.0.6,
What is the Building Blocks API product?,a. CRM services1.0.0b. Building Blocks1.0.7,
What are the Sandbox test available with auto approved Subscription,Loan API ProductsPersonal Loans 1.0.0 (Subscription auto approved)Auto Loans ETB1.0. (Subscription auto approved)<br>Payment API productUPI2.0.0 (Subscription auto approved)Bill Payments1.0.0 (Subscription auto approved)<br>Accounts API productsLien Services1.0.0 (Subscription auto approved)Collateral Services1.0.0 (Subscription auto approved)Cheque Services1.0.0 (Subscription auto approved)Beneficiary Services1.0.0 (Subscription auto approved)<br>Cards API productsInquiry and Top-up1.0.0 (Subscription auto approved)Card inquiries/update1.0.0 (Subscription auto approved)<br>Credit Cards2.0.0 API productCredit Card Additional APIs1.0.0 (Subscription auto approved),
Sandbox tests available with auto-approval subscriptions,Loan API ProductsPersonal Loans 1.0.0 (Subscription auto approved)Auto Loans ETB1.0. (Subscription auto approved)<br>Payment API productUPI2.0.0 (Subscription auto approved)Bill Payments1.0.0 (Subscription auto approved)<br>Accounts API productsLien Services1.0.0 (Subscription auto approved)Collateral Services1.0.0 (Subscription auto approved)Cheque Services1.0.0 (Subscription auto approved)Beneficiary Services1.0.0 (Subscription auto approved)<br>Cards API productsInquiry and Top-up1.0.0 (Subscription auto approved)Card inquiries/update1.0.0 (Subscription auto approved)<br>Credit Cards2.0.0 API productCredit Card Additional APIs1.0.1 (Subscription auto approved),
"With an auto-approved subscription, what are the available Sandbox tests?",Loan API ProductsPersonal Loans 1.0.0 (Subscription auto approved)Auto Loans ETB1.0. (Subscription auto approved)<br>Payment API productUPI2.0.0 (Subscription auto approved)Bill Payments1.0.0 (Subscription auto approved)<br>Accounts API productsLien Services1.0.0 (Subscription auto approved)Collateral Services1.0.0 (Subscription auto approved)Cheque Services1.0.0 (Subscription auto approved)Beneficiary Services1.0.0 (Subscription auto approved)<br>Cards API productsInquiry and Top-up1.0.0 (Subscription auto approved)Card inquiries/update1.0.0 (Subscription auto approved)<br>Credit Cards2.0.0 API productCredit Card Additional APIs1.0.2 (Subscription auto approved),
